step,loss,avg_reward,grad_norm,grad_to_param_ratio
240,0.19753218,245.38089,0.41427556,0.018191146
241,0.1976221,245.51317,0.4503255,0.019774145
242,0.19820362,244.74376,0.47640675,0.020919422
243,0.19678706,245.58469,0.49730912,0.02183727
244,0.19843507,244.6694,0.5258594,0.023090936
245,0.1986191,245.94804,0.43904367,0.019278783
246,0.19841456,244.97025,0.43170133,0.018956384
247,0.19762328,245.25728,0.3601855,0.015816068
248,0.1976403,244.9011,0.39014626,0.017131686
249,0.19827674,245.30212,0.40373245,0.017728282
